               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.064285,            0.020909,           0.0067179,             0.77836,                 0.6,             0.66608,             0.26128,            0.065987,            0.014103,           0.0067154,           0.0014038,           0.0014038,            0.085704
                  79,            0.057739,            0.022554,           0.0062394,             0.92723,             0.57889,             0.72496,             0.36401,             0.05384,             0.01415,           0.0068685,           0.0014175,           0.0014175,            0.085518
                  80,            0.064179,            0.021355,            0.006226,             0.50547,             0.54745,              0.4526,             0.26639,            0.076156,            0.013698,           0.0067088,           0.0014311,           0.0014311,            0.085331
                  81,            0.067619,            0.018707,           0.0063046,             0.71021,             0.74948,             0.67353,             0.30155,             0.05805,            0.013934,           0.0066389,           0.0014445,           0.0014445,            0.085145
                  82,            0.064944,            0.019883,           0.0058364,              0.7031,                 0.6,             0.60014,             0.36133,            0.073346,            0.013411,           0.0060537,           0.0014578,           0.0014578,            0.084958
                  83,            0.062695,            0.019237,           0.0059327,             0.84507,             0.70901,             0.73695,             0.34876,            0.054542,            0.014324,           0.0061403,           0.0014709,           0.0014709,            0.084771
                  84,            0.059484,             0.01958,           0.0053925,             0.68143,                 0.7,             0.66112,             0.27179,            0.067778,            0.013598,           0.0058688,           0.0014839,           0.0014839,            0.084584
                  85,            0.064079,            0.021379,           0.0054202,             0.40107,                0.77,               0.404,             0.13031,            0.068329,            0.013619,           0.0058667,           0.0014967,           0.0014967,            0.084397
                  86,            0.065836,            0.018651,           0.0049932,             0.33295,             0.76866,             0.43643,             0.12377,            0.067267,             0.01356,           0.0057247,           0.0015093,           0.0015093,            0.084209
                  87,            0.063679,            0.019457,           0.0050318,             0.62089,             0.61724,             0.61082,             0.36597,            0.064753,             0.01325,           0.0055828,           0.0015218,           0.0015218,            0.084022
                  88,            0.063053,            0.019035,           0.0049324,             0.47218,                0.72,             0.57548,             0.29247,            0.067231,            0.012962,           0.0054166,           0.0015342,           0.0015342,            0.083834
                  89,            0.060163,            0.019475,           0.0045825,             0.81805,             0.65572,             0.73267,             0.41871,            0.060542,            0.013205,            0.005385,           0.0015464,           0.0015464,            0.083646
                  90,            0.060909,            0.018558,           0.0048557,             0.38544,                0.77,             0.50831,             0.23445,            0.069035,            0.013271,           0.0052839,           0.0015584,           0.0015584,            0.083458
                  91,             0.06218,            0.020689,           0.0050548,             0.50236,             0.76729,             0.63519,             0.29647,            0.052836,            0.013661,           0.0053573,           0.0015702,           0.0015702,             0.08327
                  92,            0.057345,            0.022374,           0.0052444,              0.5605,                0.66,             0.54618,             0.12761,            0.061107,            0.013025,           0.0052191,           0.0015819,           0.0015819,            0.083082
                  93,            0.060007,            0.017776,           0.0044998,             0.62648,                0.73,             0.63032,             0.33267,            0.060389,            0.012971,           0.0051596,           0.0015934,           0.0015934,            0.082893
                  94,            0.056634,            0.018287,           0.0041918,             0.52168,             0.71013,              0.5702,             0.18226,            0.054633,            0.013237,           0.0052626,           0.0016048,           0.0016048,            0.082705
                  95,            0.051282,            0.020491,           0.0045314,             0.66563,                 0.7,              0.6955,             0.32724,             0.04959,            0.013427,           0.0051685,            0.001616,            0.001616,            0.082516
                  96,            0.057835,            0.021406,           0.0051072,             0.77087,                0.66,             0.60054,             0.27168,            0.055769,            0.013422,           0.0050838,            0.001627,            0.001627,            0.082327
                  97,            0.060019,            0.020202,           0.0046093,             0.46104,                0.64,             0.46169,             0.14364,            0.065725,            0.013528,           0.0050687,           0.0016379,           0.0016379,            0.082138
                  98,            0.061513,            0.018234,            0.004506,             0.44253,             0.74757,             0.53849,             0.20879,            0.055878,            0.013072,           0.0049509,           0.0016486,           0.0016486,            0.081949
                  99,             0.05865,            0.021393,           0.0052465,             0.61379,                 0.7,             0.65448,              0.3135,            0.057451,            0.013168,           0.0047936,           0.0016591,           0.0016591,            0.081759
                 100,            0.061331,            0.019125,           0.0048912,              0.3961,             0.76954,             0.41682,             0.24694,            0.068404,            0.012492,           0.0047871,           0.0016694,           0.0016694,            0.081569
                 101,            0.062207,            0.017496,           0.0043168,             0.51305,             0.62718,             0.51445,             0.11322,            0.063307,            0.012629,           0.0048178,           0.0016796,           0.0016796,             0.08138
                 102,              0.0633,            0.019677,           0.0044643,             0.78284,                0.54,              0.6253,             0.33462,            0.061075,            0.012613,           0.0048475,           0.0016896,           0.0016896,             0.08119
                 103,            0.059907,            0.017569,             0.00435,             0.56892,             0.59852,             0.50922,             0.33985,            0.063991,            0.012619,           0.0049891,           0.0016995,           0.0016995,            0.080999
                 104,            0.054108,            0.017069,            0.004054,             0.53073,             0.76959,             0.64136,             0.27724,            0.054626,            0.012884,           0.0048985,           0.0017091,           0.0017091,            0.080809
                 105,            0.058085,            0.018822,           0.0043208,             0.50074,                0.68,             0.55916,              0.1786,            0.054801,            0.013243,           0.0048938,           0.0017186,           0.0017186,            0.080619
                 106,            0.055257,            0.019415,           0.0041153,             0.74146,              0.6584,             0.74358,             0.39134,            0.057793,            0.012959,           0.0048444,           0.0017279,           0.0017279,            0.080428
                 107,            0.060264,            0.020496,           0.0046505,             0.50896,             0.75805,             0.60494,             0.16156,            0.057571,            0.012999,           0.0046543,            0.001737,            0.001737,            0.080237
                 108,            0.056295,             0.02055,           0.0045496,             0.72397,                 0.7,             0.67004,             0.31238,            0.047367,            0.013081,           0.0046568,            0.001746,            0.001746,            0.080046
                 109,            0.053827,            0.016951,           0.0038783,             0.47661,                0.73,             0.53075,             0.16322,            0.062983,            0.012717,           0.0044848,           0.0017548,           0.0017548,            0.079855
                 110,            0.053587,            0.017708,            0.003608,             0.78503,             0.74886,             0.73763,             0.34627,            0.051313,            0.012445,           0.0044807,           0.0017634,           0.0017634,            0.079663
