               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.025029,           0.0053745,           0.0047369,             0.97531,             0.95817,             0.98871,             0.74108,            0.019548,           0.0035332,           0.0019565,           0.0093912,           0.0093912,           0.0093912
                  69,             0.02446,           0.0052016,           0.0047342,             0.97654,             0.95332,             0.98722,             0.73205,            0.019703,           0.0034066,            0.002118,           0.0093733,           0.0093733,           0.0093733
                  70,            0.024356,           0.0051787,           0.0048071,             0.97882,             0.95769,             0.98884,             0.73179,            0.019536,           0.0033924,           0.0017953,           0.0093552,           0.0093552,           0.0093552
                  71,            0.024408,           0.0050728,           0.0042924,             0.98073,             0.96919,             0.98806,             0.73579,            0.019535,           0.0033896,           0.0019638,           0.0093369,           0.0093369,           0.0093369
                  72,            0.024831,           0.0053657,           0.0060002,             0.97976,             0.94582,             0.98806,             0.72189,            0.019997,           0.0035312,           0.0022156,           0.0093183,           0.0093183,           0.0093183
                  73,            0.024146,           0.0050609,           0.0047607,             0.97706,             0.96382,             0.98762,             0.74021,             0.01965,           0.0034395,            0.001745,           0.0092995,           0.0092995,           0.0092995
                  74,            0.023671,           0.0050963,            0.004627,             0.98263,             0.94644,             0.98676,             0.74893,             0.01875,            0.003352,           0.0019968,           0.0092804,           0.0092804,           0.0092804
                  75,            0.024325,           0.0050361,           0.0048364,             0.99163,             0.94641,             0.98771,             0.74355,            0.018596,           0.0033766,           0.0019264,           0.0092611,           0.0092611,           0.0092611
                  76,            0.024174,           0.0050617,           0.0052311,             0.98531,               0.952,             0.98868,             0.73803,            0.019838,           0.0034415,           0.0019301,           0.0092416,           0.0092416,           0.0092416
                  77,            0.024044,           0.0051508,            0.004391,             0.97378,             0.96455,             0.98935,              0.7516,            0.018881,            0.003374,           0.0017299,           0.0092219,           0.0092219,           0.0092219
                  78,             0.02339,           0.0050543,           0.0045669,             0.97403,             0.97677,             0.99101,             0.74681,            0.019198,           0.0033022,           0.0017341,           0.0092019,           0.0092019,           0.0092019
                  79,            0.023949,           0.0050905,           0.0048586,             0.98387,             0.95594,             0.98744,              0.7403,              0.0192,           0.0033807,           0.0018693,           0.0091817,           0.0091817,           0.0091817
                  80,            0.024131,           0.0049066,           0.0042885,             0.98205,             0.97087,             0.98936,             0.75419,            0.018712,           0.0032626,           0.0016726,           0.0091612,           0.0091612,           0.0091612
                  81,            0.023881,           0.0050147,           0.0043748,             0.97956,             0.95302,             0.98754,             0.75688,            0.018343,           0.0033319,           0.0018509,           0.0091406,           0.0091406,           0.0091406
                  82,            0.023787,             0.00502,           0.0044925,             0.97046,             0.96411,             0.98936,             0.75225,            0.019369,           0.0034835,           0.0022344,           0.0091197,           0.0091197,           0.0091197
                  83,            0.023467,            0.004994,           0.0048936,             0.97799,             0.96396,             0.98918,             0.76112,            0.018088,           0.0032402,           0.0020577,           0.0090986,           0.0090986,           0.0090986
                  84,            0.023139,           0.0049356,           0.0043405,             0.97548,             0.97243,             0.98926,             0.75821,            0.018511,           0.0033036,           0.0015614,           0.0090772,           0.0090772,           0.0090772
                  85,            0.024039,           0.0051526,           0.0049504,             0.96718,              0.9708,             0.98717,             0.74773,            0.018985,           0.0034007,           0.0022548,           0.0090557,           0.0090557,           0.0090557
                  86,            0.023653,           0.0051888,           0.0046485,             0.95754,             0.97813,              0.9896,             0.75072,            0.018919,           0.0033104,           0.0018592,           0.0090339,           0.0090339,           0.0090339
                  87,            0.023696,           0.0050375,           0.0042891,             0.98245,             0.96872,              0.9889,              0.7571,            0.018625,           0.0032725,           0.0017192,           0.0090119,           0.0090119,           0.0090119
                  88,            0.023264,           0.0048612,           0.0043265,             0.96804,              0.9742,             0.98986,             0.75218,            0.018674,           0.0032478,           0.0017614,           0.0089897,           0.0089897,           0.0089897
                  89,            0.024192,           0.0051201,           0.0056564,             0.97295,             0.97177,             0.98976,             0.75549,            0.018379,           0.0033077,           0.0018936,           0.0089673,           0.0089673,           0.0089673
                  90,            0.024032,           0.0050573,           0.0051903,             0.96009,             0.96831,             0.98813,             0.74346,            0.018785,           0.0033223,           0.0022393,           0.0089447,           0.0089447,           0.0089447
                  91,             0.02358,           0.0048783,           0.0041797,              0.9892,             0.96383,             0.99055,             0.76051,            0.018182,           0.0032094,           0.0017553,           0.0089218,           0.0089218,           0.0089218
                  92,            0.023153,           0.0049861,           0.0042415,             0.98812,             0.97291,              0.9918,             0.76034,             0.01807,           0.0032082,           0.0014949,           0.0088988,           0.0088988,           0.0088988
                  93,            0.023568,           0.0050181,           0.0047168,             0.98531,             0.97105,              0.9892,             0.75835,            0.018443,           0.0032138,           0.0017622,           0.0088755,           0.0088755,           0.0088755
                  94,            0.023034,           0.0049621,           0.0043139,             0.98534,             0.97442,             0.98939,             0.76314,            0.017594,           0.0031549,           0.0014914,            0.008852,            0.008852,            0.008852
                  95,            0.023578,           0.0049652,           0.0042181,             0.98741,              0.9662,             0.98824,             0.76296,            0.017825,           0.0031952,           0.0017644,           0.0088283,           0.0088283,           0.0088283
                  96,            0.023332,           0.0047844,           0.0044652,             0.99086,              0.9664,             0.98879,             0.75662,            0.017925,           0.0031926,            0.001435,           0.0088045,           0.0088045,           0.0088045
                  97,            0.023364,           0.0048992,           0.0044809,             0.98391,             0.96689,             0.99121,             0.76324,            0.017786,           0.0032266,           0.0014665,           0.0087804,           0.0087804,           0.0087804
                  98,            0.023497,           0.0048553,           0.0041619,             0.98558,             0.97297,             0.98939,             0.75548,            0.018023,           0.0032386,           0.0015849,           0.0087561,           0.0087561,           0.0087561
                  99,            0.022876,           0.0048614,           0.0041997,             0.98012,             0.97034,             0.99129,             0.74878,            0.017889,           0.0031957,           0.0015725,           0.0087316,           0.0087316,           0.0087316
                 100,             0.02372,           0.0050226,           0.0046172,             0.98581,             0.96254,             0.98907,              0.7559,            0.017905,           0.0032934,           0.0019857,           0.0087069,           0.0087069,           0.0087069
                 101,            0.023521,           0.0049439,           0.0044135,             0.98119,             0.97559,             0.99165,              0.7544,            0.018123,           0.0031823,           0.0016073,            0.008682,            0.008682,            0.008682
                 102,            0.023006,           0.0049075,           0.0041446,             0.96733,             0.97442,             0.99133,             0.76037,            0.018713,           0.0031983,           0.0017561,           0.0086569,           0.0086569,           0.0086569
                 103,            0.022956,           0.0048367,           0.0044214,             0.97519,             0.96856,             0.99156,             0.75899,            0.017922,            0.003192,           0.0018595,           0.0086316,           0.0086316,           0.0086316
                 104,            0.022741,           0.0049455,           0.0040379,              0.9871,             0.96494,              0.9916,             0.76032,            0.017728,           0.0031642,           0.0016672,           0.0086061,           0.0086061,           0.0086061
                 105,            0.022437,           0.0047641,           0.0037998,             0.98832,             0.96244,             0.99092,             0.76118,            0.017782,           0.0031246,           0.0014987,           0.0085805,           0.0085805,           0.0085805
                 106,            0.022906,           0.0047992,           0.0041559,              0.9749,             0.97332,             0.99232,             0.75777,            0.018247,           0.0031239,           0.0015211,           0.0085546,           0.0085546,           0.0085546
                 107,            0.022945,           0.0046812,           0.0040474,             0.97401,             0.97697,             0.99234,             0.76531,            0.017407,           0.0030967,           0.0017043,           0.0085286,           0.0085286,           0.0085286
                 108,            0.023193,           0.0048254,           0.0049723,             0.98698,             0.96352,             0.99142,             0.76131,            0.017447,           0.0031692,           0.0016397,           0.0085023,           0.0085023,           0.0085023
                 109,            0.023271,           0.0050166,           0.0046445,             0.97676,             0.97229,              0.9908,             0.75398,            0.018173,           0.0032693,           0.0015848,           0.0084759,           0.0084759,           0.0084759
                 110,            0.022943,             0.00487,           0.0042463,             0.98295,             0.96881,             0.99154,             0.76004,            0.017707,           0.0031132,           0.0017615,           0.0084493,           0.0084493,           0.0084493
                 111,            0.022382,            0.004836,           0.0040771,             0.96901,             0.97248,             0.99218,             0.76505,            0.017485,           0.0031335,           0.0017236,           0.0084225,           0.0084225,           0.0084225
                 112,             0.02271,           0.0047835,           0.0044098,             0.99033,             0.96656,             0.99249,             0.76924,            0.017243,           0.0031242,           0.0014912,           0.0083956,           0.0083956,           0.0083956
                 113,            0.022639,           0.0047468,           0.0039098,             0.98922,             0.96924,             0.99318,             0.76904,            0.017501,           0.0030983,           0.0014025,           0.0083684,           0.0083684,           0.0083684
                 114,            0.022951,           0.0046792,           0.0042256,              0.9798,             0.97244,             0.99109,             0.76841,            0.017266,           0.0030701,            0.001658,           0.0083411,           0.0083411,           0.0083411
                 115,            0.022221,           0.0047672,           0.0038184,             0.99357,             0.96755,             0.99202,             0.76854,            0.017209,             0.00309,           0.0014498,           0.0083136,           0.0083136,           0.0083136
                 116,            0.022255,           0.0046118,            0.003872,             0.99001,             0.97067,             0.99216,             0.77111,            0.016983,           0.0030581,           0.0014468,           0.0082859,           0.0082859,           0.0082859
                 117,             0.02275,           0.0047348,           0.0036625,             0.99387,             0.96514,             0.99282,             0.76019,            0.017453,           0.0030629,           0.0014059,           0.0082581,           0.0082581,           0.0082581
                 118,            0.022214,           0.0046121,           0.0038994,             0.98627,             0.96798,             0.99181,             0.76461,            0.017701,           0.0030832,           0.0013522,           0.0082301,           0.0082301,           0.0082301
                 119,            0.022445,           0.0048253,           0.0039441,             0.98982,             0.96909,             0.99195,             0.76612,            0.017238,           0.0030826,           0.0014528,           0.0082019,           0.0082019,           0.0082019
                 120,            0.022658,           0.0048392,           0.0042903,             0.98829,             0.97205,             0.99152,             0.76063,            0.017898,           0.0031028,           0.0014798,           0.0081735,           0.0081735,           0.0081735
                 121,            0.023098,           0.0050655,           0.0045248,             0.98708,             0.96722,             0.99056,              0.7603,            0.017733,           0.0031875,           0.0016509,            0.008145,            0.008145,            0.008145
                 122,            0.022635,           0.0048461,           0.0041486,              0.9815,             0.97253,             0.99034,             0.76672,             0.01735,           0.0031173,           0.0016437,           0.0081164,           0.0081164,           0.0081164
                 123,            0.022533,           0.0047928,           0.0039519,             0.98967,             0.97524,             0.99135,             0.77248,            0.017076,           0.0030694,           0.0013849,           0.0080875,           0.0080875,           0.0080875
                 124,            0.022585,           0.0048005,            0.004291,             0.99289,              0.9713,             0.99317,             0.77017,            0.017104,           0.0030933,           0.0012493,           0.0080585,           0.0080585,           0.0080585
                 125,            0.022373,             0.00471,             0.00373,             0.99342,             0.97507,             0.99313,             0.77415,            0.016822,           0.0030233,           0.0012767,           0.0080294,           0.0080294,           0.0080294
                 126,            0.022066,           0.0045823,           0.0036514,             0.99465,             0.97347,               0.993,             0.76495,            0.016909,           0.0030119,           0.0012327,           0.0080001,           0.0080001,           0.0080001
                 127,            0.022121,           0.0046048,           0.0039243,             0.99203,             0.98017,             0.99394,             0.77692,            0.016561,            0.003002,           0.0011401,           0.0079706,           0.0079706,           0.0079706
                 128,            0.022474,           0.0047049,           0.0040322,             0.99534,             0.97634,             0.99383,             0.76274,            0.017115,           0.0030379,            0.001227,            0.007941,            0.007941,            0.007941
                 129,            0.022461,            0.004703,           0.0039915,             0.98564,             0.97467,             0.99368,                0.78,            0.016911,           0.0030798,           0.0011493,           0.0079112,           0.0079112,           0.0079112
                 130,            0.022232,           0.0046719,           0.0039289,             0.99505,             0.97761,             0.99355,             0.77076,            0.017189,           0.0030579,           0.0011664,           0.0078813,           0.0078813,           0.0078813
                 131,            0.022921,           0.0048178,           0.0046047,             0.99425,             0.96871,             0.99289,             0.76853,            0.017114,           0.0030524,           0.0013472,           0.0078512,           0.0078512,           0.0078512
                 132,            0.022135,           0.0048051,           0.0039676,             0.99206,             0.96908,             0.99175,             0.77518,            0.016721,           0.0030413,           0.0013475,            0.007821,            0.007821,            0.007821
                 133,            0.022547,            0.004751,           0.0039251,             0.99085,             0.97163,             0.99278,             0.77317,            0.016798,           0.0030452,           0.0012692,           0.0077907,           0.0077907,           0.0077907
                 134,            0.022153,           0.0045055,           0.0036762,             0.98906,             0.97194,             0.99132,             0.76922,            0.016951,           0.0030507,           0.0013155,           0.0077602,           0.0077602,           0.0077602
                 135,            0.021506,           0.0045632,           0.0036235,             0.99153,             0.97738,             0.99258,             0.77389,            0.016602,             0.00301,           0.0012213,           0.0077296,           0.0077296,           0.0077296
                 136,            0.022027,           0.0046442,           0.0039656,             0.99223,             0.97841,             0.99333,             0.77746,             0.01658,           0.0029753,           0.0011342,           0.0076988,           0.0076988,           0.0076988
                 137,            0.022254,           0.0046789,           0.0039185,             0.98988,             0.98014,             0.99318,             0.77769,            0.016669,           0.0030049,           0.0011568,           0.0076679,           0.0076679,           0.0076679
                 138,             0.02233,           0.0046675,           0.0037829,             0.99144,             0.98146,             0.99366,             0.77512,             0.01706,           0.0030005,           0.0011445,           0.0076369,           0.0076369,           0.0076369
                 139,            0.021954,           0.0046509,           0.0037718,             0.99487,             0.97656,              0.9936,              0.7666,            0.017283,           0.0030253,           0.0011219,           0.0076057,           0.0076057,           0.0076057
                 140,            0.021876,           0.0047164,           0.0038419,             0.99065,             0.97541,              0.9939,             0.77189,            0.016763,            0.003011,            0.001177,           0.0075744,           0.0075744,           0.0075744
                 141,            0.021843,           0.0047476,           0.0040894,             0.99048,             0.98313,             0.99431,             0.77445,            0.016673,           0.0029863,           0.0011097,            0.007543,            0.007543,            0.007543
                 142,            0.022368,           0.0046158,           0.0049342,             0.99339,             0.98026,             0.99417,             0.78332,            0.016288,           0.0029781,           0.0012083,           0.0075114,           0.0075114,           0.0075114
                 143,            0.022552,           0.0047361,           0.0039319,             0.98663,             0.98124,             0.99427,             0.77854,            0.016799,           0.0030349,           0.0011892,           0.0074797,           0.0074797,           0.0074797
                 144,            0.022241,           0.0046637,           0.0043251,             0.99086,             0.97543,             0.99408,             0.77902,            0.016781,           0.0030035,           0.0011948,           0.0074479,           0.0074479,           0.0074479
                 145,             0.02211,           0.0047176,            0.003747,              0.9894,              0.9731,             0.99371,             0.77736,            0.016796,           0.0029924,           0.0013161,            0.007416,            0.007416,            0.007416
                 146,             0.02196,           0.0045725,           0.0038264,             0.98937,             0.97332,             0.99355,             0.77804,            0.016678,           0.0029823,           0.0014226,            0.007384,            0.007384,            0.007384
                 147,            0.021789,           0.0045647,           0.0038862,             0.98631,             0.97955,             0.99372,             0.78224,            0.016374,           0.0029759,           0.0011544,           0.0073518,           0.0073518,           0.0073518
                 148,            0.022078,           0.0046835,           0.0040545,             0.98823,             0.98001,             0.99379,             0.78308,            0.016248,           0.0029633,           0.0011028,           0.0073195,           0.0073195,           0.0073195
                 149,              0.0218,           0.0046933,           0.0036771,             0.98514,               0.979,             0.99349,             0.78154,            0.016451,           0.0029883,           0.0011431,           0.0072872,           0.0072872,           0.0072872
                 150,             0.02189,           0.0046557,           0.0038495,             0.99067,             0.97655,             0.99378,             0.77968,            0.016659,           0.0029644,           0.0011314,           0.0072547,           0.0072547,           0.0072547
                 151,            0.021551,           0.0046221,           0.0038846,             0.98981,             0.97558,             0.99313,             0.77747,            0.016862,           0.0029689,           0.0011352,           0.0072221,           0.0072221,           0.0072221
                 152,            0.021597,           0.0044714,           0.0039431,             0.99328,             0.97604,             0.99306,             0.77784,            0.016535,           0.0029461,           0.0010901,           0.0071894,           0.0071894,           0.0071894
